№;раздел экрана;что было в 0.4.4;что стало;меняет ли числа результата;задание и BL;источник
70;Проекты и данные → Как пользоваться → «Учебные примеры»;3 карточки с рамкой, фон прозрачный;белая поверхность #FFFFFF / #1F2226 на окне, рамка #CFD1D5 / #33373E;нет;21-З, решение владельца 24.09.2026 (А-8);"ce3bd53; REGISTER.md:1013, 1042; WAVE21_Z_REPORT.md:31–32, 110–114"
71;внутреннее (журнал ошибок);"в 0.4.4 ложных записей воркеров нет; шум «missing ScriptRunContext» в журнале сервера";"воркеры пула не пишут errors.jsonl (ошибку внесла 21-Ж, устранила 21-З до выпуска); шум журнала сервера остался (BL-64)";нет;21-З, BL-64, BL-54;"ce3bd53; REGISTER.md:324, 1042; WAVE21_Z_REPORT.md:47–78"
72;внутреннее;—;"тесты test_style_21z (11), test_error_log_worker_21z (4); ожидания под 21-Ж в 4 файлах (11 тестов); регрессия 739 passed, 1 xfailed";нет;21-З;"ce3bd53; WAVE21_Z_REPORT.md:38–45, 129–206"
73;Кинетика → Диффузия и гомогенизация;"третий ряд вкладок «Однофазная пара», «Многофазная гомогенизация», «Покрытие базы подвижностей»; исполнялись все три";"переключатель с теми же вариантами, по умолчанию «Однофазная пара»; исполняется только выбранный вид";нет;21-И, решение владельца 24.09.2026 (N-4);"27617f6; REGISTER.md:1014, 1032, 1044; WAVE21_I_REPORT.md:34, 40"
74;Кинетика → Выделения (после расчёта);вкладки «Итоги», «Кинетика и состав», «Распределение размеров», «Экспорт и ограничения»;"переключатель с теми же вариантами, по умолчанию «Итоги»; сообщение об остановке (BL-35) — над переключателем";нет;21-И, решение владельца 24.09.2026 (N-4);"27617f6; REGISTER.md:1014, 1044; WAVE21_I_REPORT.md:35, 38"
75;Затвердевание (после расчёта);вкладки «Сводка», «Твёрдые фазы», «Остаточный расплав», «Выгрузка»;переключатель с теми же вариантами, по умолчанию «Сводка»;нет;21-И, решение владельца 24.09.2026;"27617f6; REGISTER.md:1014, 1032, 1044; WAVE21_I_REPORT.md:36"
76;"Кинетика → Диффузия и гомогенизация; Затвердевание — значения полей";во вкладках все поля жили одновременно;20 полей хранят значение при смене вида в сеансе (16 — диффузия, 4 — «Затвердевание»), выбранный вид тоже запоминается;нет;21-И;"27617f6; REGISTER.md:1044; WAVE21_I_REPORT.md:51–78"
77;весь экран → выбранный вариант переключателя при наведении и фокусе;— (переключателя не было);фон как в покое: текст 4.87:1 / 5.23:1 во всех состояниях;нет;21-И;"27617f6; REGISTER.md:1044; WAVE21_I_REPORT.md:37, 149–161"
78;"Затвердевание → Выгрузка; Кинетика → Выделения → Экспорт и ограничения";кнопки выгрузки во вкладке, файлы собирались на каждом прогоне;"кнопки видны и файлы собираются только при выбранном виде «Выгрузка» / «Экспорт и ограничения»; содержимое файлов в 21-И не менялось";нет;21-И;"27617f6; WAVE21_I_REPORT.md:40, 120, 125"
79;внутреннее;—;"тест test_switch_21i (13); выбор вида в test_ui_g и test_ui_f; замер длинных форм для 9Б; регрессия 752 passed";нет;21-И;"27617f6; WAVE21_I_REPORT.md:80–126, 172–207"
80;внутреннее;—;опись форм (23 экрана, 550 элементов, 209 полей до основной кнопки), предложение 9Б/10Б tasks/PREDLOZHENIE_9B_10B_21.md;нет;21-К;"458e3a8; REGISTER.md:1015, 1046"
81;внутреннее;—;"прогон умолчаний 10Б (50 прогонов с кадрами) и пробы 9Б вставкой стилей; найдены BL-66, BL-67";нет;21-Л;"10c25ae; REGISTER.md:1016, 1048"
82;весь экран → строка основной кнопки;"кнопка расчёта в конце формы; на первом экране видна на 2 экранах из 21 (замер 21-И)";"строка кнопки прилипает к нижнему краю окна, видна на 19 экранах из 21; кнопки форм и «Рассчитать Voigt–Reuss–Hill» на своих местах";нет;21-М, решение владельца 1В (25.09.2026);"b487026; app/style.css:108–121; WAVE21_M_REPORT.md:30–32; REGISTER.md:1017, :1050"
83;весь экран (15 экранов) → свёрнутые блоки;"редкие поля на виду; свёрнуты были только «Управление фазами / метастабильный расчёт» в выборе фаз и «Точность и критерии» в «Затвердевании»";"42 поля в блоках «Точность и критерии», «Управление фазами / метастабильный расчёт», «Параметры модели»; в «Диффузии и гомогенизации» «Время, ч» — отдельной строкой; ключи, умолчания и границы полей прежние";нет;21-М, решения владельца 2, 3;"b487026; WAVE21_M_REPORT.md:64, :107; REGISTER.md:1050"
84;весь экран → подпись над основной кнопкой;—;"«Не по умолчанию: {подписи полей через «; »}.», если поле свёрнутого блока отличается от умолчания базы";нет;21-М, решение владельца 4;"b487026; app/thermogar_release_ui.py:54; WAVE21_M_REPORT.md:111; REGISTER.md:1050"
85;Свойства → Вклады упрочнения;"кнопка «Рассчитать вклады» активна; без источника или галочки — «ThermoGar не завершил расчёт.», причина по-английски в «Технических сведениях»";"кнопка неактивна, под ней «Укажите источник и область применимости всех коэффициентов.» или «Подтвердите область применимости введённых коэффициентов.»; у отказа проверенного пути — русская причина";нет;21-М, BL-65, решение владельца 11Б;"b487026; app/ThermoGar_app.py:2574–2579; WAVE21_M_REPORT.md:136, :138; REGISTER.md:325"
86;Свойства → Упругие свойства (шаг 2);«Рассчитать Voigt–Reuss–Hill» активна и отказывает общим текстом, причина по-английски;"кнопка неактивна, под ней первая причина: «Не заданы E и ν для фаз: …», затем про происхождение, источник и температуру источника; у отказа — русская причина";нет;21-М, BL-67, решение владельца 11Б;"b487026; app/ThermoGar_app.py:2381; WAVE21_M_REPORT.md:137–138; REGISTER.md:327"
87;Расчёты → Температурный диапазон (сталь);умолчание 400–1200 °C шагом 400 — 3 точки (v0.4.4 app/ThermoGar_app.py:303–305);"500–900 °C шагом 100 — 5 точек (app/ThermoGar_app.py:363–365); Ni и Al без изменений";да — расчёт по умолчанию: 5 точек 500–900 °C вместо 400 / 800 / 1200 (WAVE21_M_REPORT.md:333);21-М, решение владельца 5;"b487026, 8bd5fa6; WAVE21_M_REPORT.md:143; REGISTER.md:1050"
88;Свойства → Плотность по T (сталь);400–1200 °C шагом 400 — 3 точки;500–900 °C шагом 100 (app/ThermoGar_app.py:12140–12142);да — умолчание: 5 точек 773.15–1173.15 K, 7641.5…7566.6 кг/м³ (WAVE21_M_REPORT.md:334);21-М, решение владельца 5;"b487026, 8bd5fa6; REGISTER.md:1050"
89;Свойства → Плотность по T (все базы);на экране st.line_chart: ось не по данным, тысячи через запятую;на экране та же фигура matplotlib, что в PNG: ось по данным, без смещения «+7.6e3», без запятых;нет — таблица та же;21-М, решение владельца 15Б;"b487026, 9d359e3; WAVE21_M_REPORT.md:167"
90;Расчёты → Изменение состава (сталь);изменяемый элемент Al, 0–20 мас.% шагом 10: 3 точки, одна фаза BCC_B2;C 0.1–0.5 мас.% шагом 0.1 (app/ThermoGar_app.py:562–565);да — умолчание считает Fe–C, 5 точек (WAVE21_M_REPORT.md:336);21-М, решение владельца 6;"b487026, 8bd5fa6; WAVE21_M_REPORT.md:144"
91;Расчёты → Изменение состава (Al);изменяемый элемент Cr, 0–20 ат.% шагом 1 (21 точка);Cu 1–5 ат.% шагом 1 (5 точек);да — другая система и диапазон по умолчанию (WAVE21_M_REPORT.md:337);21-М, решение владельца 7;"b487026, 8bd5fa6; WAVE21_M_REPORT.md:144"
92;Диаграммы → Многокомпонентное T–X (Ni);"Al 0–10 ат.% шагом 1, «CR=15, CO=10», 900–1500 °C шагом 25 (v0.4.4 app/ThermoGar_app.py:495–505); почти пустое поле";Al 0–30 ат.% шагом 2, CR=8, 625–1625 °C шагом 50 (app/ThermoGar_app.py:570–582);да — другое сечение: 282 строки границ, 38 линий, 1 узел (WAVE21_M_REPORT.md:152–158);21-М, решение владельца 8Б;"b487026, 8bd5fa6; WAVE21_M_REPORT.md:145"
93;Кинетика → Диффузия и гомогенизация → Многофазная гомогенизация (Ni);"фазы FCC_A1 + BCC_A2 (v0.4.4 app/thermogar_diffusion.py:87); после фильтра по подвижностям остаётся FCC_A1, и расчёт отказывает: «Для многофазной гомогенизации выберите минимум две фазы.»";FCC_A1 + NIAL (app/thermogar_diffusion.py:108);да — умолчание даёт результат: 100 ч, ошибка баланса 6.000e-08 (WAVE21_M_REPORT.md:339);21-М, решение владельца 9;b487026, 8bd5fa6
94;Кинетика → Диффузия и гомогенизация (результат);3 плитки: «Метод», «Время выдержки, ч», «Макс. ошибка баланса, u-доля»;2 плитки, «Метода» нет (app/thermogar_diffusion.py:1242–1246);нет;21-М, решение владельца 16Б;"b487026, 9d359e3; WAVE21_M_REPORT.md:168"
95;Затвердевание → подписи полей;«Scheil: остановить при остатке расплава, %», «Порог появления фазы, %»;"к обеим подписям добавлено «(0.0001–5)» (app/ThermoGar_app.py:10545, :10554); в листе Excel «Параметры» подписи прежние";нет;21-М, решение владельца 13Б;"b487026, 9d359e3; WAVE21_M_REPORT.md:166"
96;весь экран → кольцо фокуса;штатное полупрозрачное, 2.18:1 / 2.44:1;сплошное #1F60C1 / #5C97E8 у 7 видов элементов, 5.65:1 / 5.96:1 (app/style.css:74–87);нет;21-М, решение владельца 14Б;"b487026, 9d359e3; WAVE21_M_REPORT.md:187, :192–198"
97;внутреннее;—;"21-М: tools/test_wave21_m.py (22 теста), results/wave21_m (82 кадра, замеры, прогон умолчания 8Б); регрессия 774 passed, 1 xfailed";нет;21-М;"b487026; WAVE21_M_REPORT.md:208, :290; REGISTER.md:1054"
98;внутреннее;—;разбор BL-66 по коду (две причины) и опись выгрузок 12Б (15 мест, 1 помощник, 7 вызовов), results/wave21_n/vygruzki.csv;нет;21-Н, BL-66;"dd75b12; REGISTER.md:1018, 1052"
99;внутреннее;—;"22-А, 22-А2: только разбор, в app/ 0 файлов; results/wave22_a. BL-43 — численный перелёт через растворимость; момент остановки случаен: Linux 0.765…3.109 с, Windows 1.418 с";нет;22-А, 22-А2, BL-43;"7b02eb8; WAVE22_A_REPORT.md:5, :10, :19, :28; REGISTER.md:1092–1093, :1096"
100;Кинетика → Выделения (все базы);шаг kawin рос без ограничения (в 5–42 раза за шаг), состав матрицы зажимался в 0;шаг не больше 2× предыдущего, minComposition 1e-8 (app/thermogar_precipitation.py:146, :149, :334, :1279);"да — меняются траектория, число строк и итог. Ni 100 ч: 26.0317 → 26.0335 %, R 92.228 → 92.187 нм, 18 881 → 10 605 строк, 255 → 154 с (Linux; WAVE22_B_REPORT.md:202–203); ноутбук: 26.0338 %, 10 314 строк, 176.5 с (WAVE21_O_REPORT.md:173). Al 24 ч — выделений нет, 373 → 407 строк (WAVE22_B_REPORT.md:204–205)";22-Б, BL-43;"a68a417; WAVE22_B_REPORT.md:15, :27; REGISTER.md:1094, :1098"
101;Кинетика → Выделения (сталь);"остановка BL-35: ячейка 40 классов на Windows — на 1.418 с («Состав матрицы допустим» — ошибка); умолчание 0.05 ч на Linux — остановка на 110.7 с, на ноутбуке не кончилось за 15 мин";без остановки, все проверки пройдены;"да — ячейка: 4.4095 %, R 9.517 нм (WAVE21_O_REPORT.md:171); 0.05 ч: 4.4116 %, R 18.87 нм, 712 с на Linux (WAVE22_B_REPORT.md:206–207)";22-Б, BL-43;"a68a417; WAVE22_B_REPORT.md:25; WAVE22_A_REPORT.md:19–21, :28; REGISTER.md:303"
102;Кинетика → Выделения (остановка по составу, пример 718);условие проверялось по зажатому составу: 718 останавливался на 3.872 с, 5.232 %;"условие проверяется по составу до зажима; 718 по-прежнему останавливается — на 3.885 с, 5.297 % (Linux, 800 классов); на ноутбуке, 200 классов — на 4.130 с по Ti. Признак «перелёт / разрыв» — только в данных результата (stop_diagnostics), на экран и в Excel не выводится";"да — момент и доля остановки сдвинулись (WAVE22_B_REPORT.md:220–221; WAVE21_O_REPORT.md:175)";22-Б, BL-35, BL-43;"a68a417; WAVE22_B_REPORT.md:29, :446; REGISTER.md:1098"
103;документы;docs/ описывают поведение 0.4.4;"в слияниях 21-М, 21-О, 22-А, 22-Б docs/ не менялись; устарели docs/LIMITS_OF_APPLICABILITY.md:176–181 («на сетке из 40 классов останавливается»), docs/FEATURES.md:118–125, docs/guide/06-kinetika.md:80–84 («стала 0 ат. %»)";нет;22-Б, 21-О (3В);REGISTER.md:1098
104;внутреннее;—;22-Б: tools/test_kwn_step_cap_22b.py (9 тестов), подставная модель в test_precipitation_bl35 (+4 строки), results/wave22_b;нет;22-Б;"a68a417; WAVE22_B_REPORT.md:33; REGISTER.md:1098"
105;Кинетика → Выделения (сталь);"«Время выдержки, ч» по умолчанию 0.05 (v0.4.4 app/thermogar_precipitation.py:75); результата не давала";0.01 ч (app/thermogar_precipitation.py:92);да — умолчание: 4.4104 %, R 12.142 нм, 9881 строка, 299 с на ноутбуке, без остановки (WAVE21_O_REPORT.md:172);21-О, решение владельца 1Б (26.09.2026);"a6df161, 60e67e0; WAVE21_O_REPORT.md:68; REGISTER.md:1056"
106;Кинетика → Выделения (текст остановки);«…доля TI в матрице стала 0 ат. %, баланс масс нарушен…» (v0.4.4 app/thermogar_precipitation.py:227–232);"при отрицательной доле — «доля Ti в матрице ушла ниже нуля, баланс масс нарушен…»; при 0, > 1 и NaN — «стала … ат.%» (app/thermogar_precipitation.py:370–383). «Ti», «ат.%» и снятие отсылки к docs/LIMITS пришли из 21-Ж";нет — меняется только текст;"21-О, решение владельца 3В; 21-Ж";"a6df161, 60e67e0; WAVE21_O_REPORT.md:69, :175–177; REGISTER.md:1056"
107;Энергии → T₀ (сталь);окно поиска общее с «Энергиями» — 300–1700 °C (v0.4.4 app/ThermoGar_app.py:386–387): «T₀ найдено в 15 точках из 21», 12 строк ветки δ/γ;"своё окно T₀ по умолчанию 200–950 °C (app/ThermoGar_app.py:451–453, :11909–11920); «Энергии фаз» и «Движущая сила» — 300–1700 °C";"да — 18 из 21, C 0…1.7 мас.%, 911.62 → 207.23 °C; строк ветки δ/γ (1563–1699 °C) больше нет (WAVE21_O_REPORT.md:60–61)";21-О, решение владельца 2В, BL-66;"a6df161, ab5d459; WAVE21_O_REPORT.md:55; REGISTER.md:326, :1056"
108;Энергии → T₀ (все базы);"столбец состава брался из двухфазного равновесия пути; где оно не сходилось, состав пуст при найденном T₀ (сталь, строки 3–14 при 300–1700 °C)";"состав берётся из заданной сетки и заполнен во всех строках; признак «Решение найдено» прежний — np.isfinite(T₀) (app/ThermoGar_app.py:4520–4525)";"да — у стали при 300–1700 °C состав есть во всех 21 строке (было 12 пустых); Ni и Al не замерялись";21-О, BL-66;"a6df161, ab5d459; WAVE21_O_REPORT.md:54, :61; REGISTER.md:326"
109;выгрузки Excel через dataframe_to_excel (все «Скачать Excel»);заголовки с символами как в базе: «NI, ат.%», «AL, ат.%»;"«Ni, ат.%», «Al, ат.%» (app/ThermoGar_app.py:5772–5773); значения, имена листов и файлов прежние; листы «Равновес raw» и «Scheil raw» без изменений";нет — меняются только заголовки;21-О, решение владельца 12Б;"a6df161, 466299d; WAVE21_O_REPORT.md:77, :85"
110;"Расчёты → Изменение состава; Диаграммы → Карта доли фазы (CSV)";«CU, атомные %»;"«Cu, атомные %» (app/ThermoGar_app.py:8483, :10375); CSV «Температурного диапазона» не менялся";нет;21-О, решение владельца 12Б;"a6df161, 466299d; WAVE21_O_REPORT.md:78–79"
111;Затвердевание → Выгрузка (ZIP);*_liquid_composition.csv: «NI, ат.%», «NI, мас.%»;"«Ni, ат.%», «Ni, мас.%» (app/ThermoGar_app.py:5471–5475); summary.csv, start_check.csv, *_path.csv, листы raw и имена членов архива прежние";нет;21-О, решение владельца 12Б;"a6df161, 466299d; WAVE21_O_REPORT.md:80, :85"
112;Кинетика → Выделения → Экспорт и ограничения (Excel);"«Состав матрицы»: «AL, матрица, ат.%»; «Межфазные составы»: «AL, матрица на границе, ат.%»";"Al, Ni (app/thermogar_precipitation.py:1484–1490); прочие листы прежние";нет;21-О, решение владельца 12Б;"a6df161, 466299d; WAVE21_O_REPORT.md:81–82"
113;Проекты и данные → Пакетный расчёт (Excel);«Составы фаз ат/мас»: «NI, ат.%», «AL, ат.%»;"Ni, Al только в этих двух листах (app/thermogar_workspace.py:2868–2874); «Сводка», «Фазовые доли», «Исходные данные» и CSV входа прежние";нет;21-О, решение владельца 12Б;"a6df161, 466299d; WAVE21_O_REPORT.md:83, :85"
114;внутреннее;—;"21-О: tools/test_wave21_o.py (11 тестов); в test_ui_g ячейка fe больше не ждёт остановку; tools/backend_reference.md: fe 2391 → 1123 строки, время KWN ni/al/fe 18.1/10.3/84.4 → 14.6/7.3/37.8 с; 18 кадров; регрессия 794 passed, 1 xfailed";нет;21-О;"a6df161, c1577ca; WAVE21_O_REPORT.md:36–49, :102, :163; REGISTER.md:1019"
115;внутреннее;—;опись для пересборки руководства: сценарии make_guide_screens.py, кадры и абзацы docs/guide после 21-И, 21-М, 21-О (results/wave21_p/);нет;21-П;"6503002; REGISTER.md:1020; WAVE21_P_REPORT.md:1"
116;документы;главы docs/guide/01…06 описывали экран 0.4.4: вкладки в «Затвердевании» и «Кинетике», поля без свёрнутых блоков, ручной ввод 500 / 900 / 100 °C для стали;"19 мест глав: «… — в свёрнутом блоке «…»: раскройте его.»; варианты переключателя вместо вкладок; строка кнопки и «Не по умолчанию: …»; неактивные кнопки «Рассчитать Voigt–Reuss–Hill» и «Рассчитать вклады»; умолчания; «Скачать Excel», «Скачать CSV», «Скачать PNG»; «(по умолчанию 0,01 %)». HTML не пересобран, кадры прежние; остались места 7, 13, 14, 16–19, 24–29 описи 21-П";нет;21-Р;"976e707; WAVE21_R_REPORT.md:107–146; реестр: строки 21-Р нет"
117;внутреннее;—;"tools/make_guide_screens.py: помощники переключателя, раскрытие блоков, сценарий soobshcheniya в общем прогоне; tools/tab_snapshot.py: выбор вида для f_solid, g_hom, g_kwn, sh_solid";нет;21-Р;"976e707; WAVE21_R_REPORT.md:18–105"
