№,файл:строка,вид,где на экране,сегодня (дословно),находка (слово),класс слова,предлагается (дословно),новое / уже есть на экране (с адресом),почему (код правила)
59,app/thermogar_stage14.py:861,подпись,"Расчёты, Затвердевание → «Что именно проверено»",Неопределённость термодинамической базы и расхождение с материальная точность находится вне текущей no-experiment программы.,no-experiment; «расхождение с материальная точность»,чужое обоим; ошибка языка,Погрешность термодинамической базы и расхождение с реальным материалом эта проверка не оценивает.,"новое: «Погрешность термодинамической базы», «расхождение с реальным материалом»",W-1: английское слово; ошибка согласования «расхождение с материальная точность»
60,app/thermogar_stage14.py:480,сообщение,"Расчёты → Одна температура → «Что именно проверено», таблица",Решатель не вернул фазовый состав.,решатель; вернул,программист,Расчёт не дал фазового состава.,новое: «Расчёт не дал фазового состава»,"W-1: «решатель», «вернул»"
61,"app/thermogar_stage14.py:503, app/thermogar_stage14.py:682, app/thermogar_stage14.py:772",сообщение,"Расчёты, Затвердевание → «Что именно проверено», таблица",NaN или бесконечность указывают на незавершённый расчёт. / NaN или бесконечность указывают на незавершённую точку. / Траектория не должна содержать NaN или бесконечность.,NaN,программист,Пустые или бесконечные значения указывают на незавершённый расчёт. / … на незавершённую точку. / Траектория не должна содержать пустых или бесконечных значений.,новое: «Пустые или бесконечные значения»,W-1: NaN — словарь программиста
62,app/thermogar_stage14.py:99,сообщение,любой раздел равновесия → ошибка «пустое решение» (место 69 CSV 21-В),"Равновесие при {temperature_c:.1f} °C не найдено: pycalphad вернул пустое решение (сумма долей фаз равна нулю), поэтому результата нет — попробуйте другую температуру или состав; решатель не сходится на части составов, и соседние точки тоже могут оказаться пустыми.",pycalphad вернул; решатель,программист,без изменений: текст утверждён владельцем (15-Н2); «вернул» и «решатель» — на решение владельца,уже есть: текст на экране. Новых слов нет,"W-1: «вернул», «решатель» — словарь программиста; текст утверждён владельцем"
63,app/thermogar_stage14.py:113,сообщение,любой раздел → подсказка к ошибке «папка не найдена» (render_user_error),"Проверьте, что папки app и databases находятся внутри одной папки ThermoGar, затем запустите программу снова.",app; databases,программист,Файлы ThermoGar не найдены. Переустановите программу.,"новое: «Файлы ThermoGar не найдены», «Переустановите программу»",W-1: имена служебных папок
64,app/thermogar_stage14.py:156,сообщение,любой раздел со сталью → подсказка к ошибке по стальной базе," Откройте «Проекты и данные → Паспорт базы», чтобы посмотреть патч TG-FE-2062-C15-001 и двустороннюю приёмку. Исходная TDB сохранена; непатченная копия доступна только для диагностики.",патч; TG-FE-2062-C15-001; TDB; непатченная; диагностика,программист," Откройте «Проекты и данные → Паспорт базы», чтобы посмотреть поправку проекта к стальной базе.","уже есть: первая часть фразы, «Поправка проекта», «стальной базе». Новых слов нет","W-1: «патч», код правки, «непатченная копия»"
65,app/thermogar_stage14.py:185,сообщение,Кинетика → подсказка к ошибке по подвижности,"Выберите другую матричную фазу, уменьшите набор элементов или проверьте, что используется база с подключённой DDB.",DDB,материаловед (узко),"Выберите другую матричную фазу, уменьшите набор элементов или проверьте, что в базе есть параметры подвижности.",уже есть: «параметры подвижности» (thermogar_diffusion.py:1540). Новых слов нет,W-1: DDB — формат файла подвижностей; «параметры подвижности» уже на экране
66,app/thermogar_stage14.py:216,сообщение,Свойства → Упругие свойства → подсказка к ошибке," Задайте E и ν каждой равновесной фазы и убедитесь, что physical_data.pdb покрывает все фазовые объёмные доли.",physical_data.pdb,программист," Задайте E и ν каждой равновесной фазы и убедитесь, что физическая база покрывает все равновесные фазы.","уже есть: «физическая база» (ThermoGar_app.py:11506), «равновесной фазы». Новых слов нет",W-1: имя файла
67,app/thermogar_stage14.py:223,сообщение,Свойства → Вклады упрочнения → подсказка к ошибке Hall–Petch, Проверьте alloy-specific k_y и положительный размер зерна.,alloy-specific,чужое обоим, Проверьте k_y для этого сплава и положительный размер зерна.,"уже есть: всё, кроме замены. Новое: «для этого сплава»",W-1: английское слово
68,app/thermogar_stage14.py:229,сообщение,Свойства → Вклады упрочнения → подсказка к ошибке Taylor," Проверьте G, b, ρ_d, Taylor factor и коэффициент α.",Taylor factor,чужое обоим," Проверьте G, b, ρ_d, M и коэффициент α.",уже есть: «M (Taylor)» — подпись поля (ThermoGar_app.py:2294). Новых слов нет,W-1: английское слово; на экране поле называется «M (Taylor)»
69,app/thermogar_stage14.py:255,сообщение,Свойства → подсказка к ошибке покрытия,"Откройте «Свойства → Покрытие PDB» и проверьте, что каждая равновесная фаза обеспечена плотностью.",PDB,материаловед (узко),"Откройте «Свойства → Покрытие физической базы» и проверьте, что каждая равновесная фаза обеспечена плотностью.",уже есть: «покрытие физической базы» (ThermoGar_app.py:1704). Новых слов нет,W-1: имя вкладки меняется по Г2 21-В
70,app/thermogar_stage14.py:288,сообщение,любой раздел равновесия → подсказка к ошибке,Решатель не сошёлся для выбранной точки.,решатель,программист,Равновесие в выбранной точке не найдено.,уже есть: «Равновесие … не найдено» (thermogar_stage14.py:97). Новых слов нет,W-1: «решатель»
71,app/ThermoGar_app.py:10212,сообщение,Затвердевание → ошибка расчёта (место 30 CSV 21-В),Пакет scheil не импортирован: {scheil_module['error']},пакет scheil; импортирован,программист,Модуль Scheil–Gulliver недоступен.,уже есть дословно: thermogar_stage14.py:1206,W-1; решение владельца 24.09.2026: технические подробности — в «Технические сведения» (текст ошибки импорта)
72,app/ThermoGar_app.py:10666,подпись,Затвердевание → Выгрузка → кнопка,Скачать полный архив ZIP,ZIP,формат выгрузки,"Скачать полный архив, ZIP","уже есть: «Скачать полный архив», «ZIP». Новых слов нет","W-2: как решено владельцем для «Скачать состояние модели, NPZ»; ZIP — формат, как Excel, CSV, PNG, JSON, NPZ"
73,app/ThermoGar_app.py:3824,сообщение,Энергии → Энергии фаз → «Некоторые фазы пропущены:» (место 34 CSV 21-В),{фаза}: размеры T и GM не совпали,«размеры … не совпали» (размеры массивов),программист,{фаза}: энергия не рассчитана,"новое: «энергия не рассчитана» (фраза строки 34 CSV 21-В, на «да» владельца)",W-1: сравнение размеров массивов — словарь программиста
74,app/ThermoGar_app.py:11418,подпись,Свойства → под заголовком,Плотность и объёмные доли используют проверенные TDB и physical_data.pdb. Упругость и упрочнение используют ту же проверенную привязку выбранной базы.,TDB; physical_data.pdb; привязка,программист,Плотность и объёмные доли считаются по термодинамической и физической базам. Упругость и упрочнение — по тем же базам.,"уже есть: «Плотность и объёмные доли», «физической базе». Новое: «по термодинамической и физической базам»","W-1: имя файла, «привязка»; TDB допустимо, но здесь это имя файла базы"
75,"app/ThermoGar_app.py:1230, app/ThermoGar_app.py:1239, app/ThermoGar_app.py:1263",сообщение,Свойства → ошибка над вкладками (место 39 CSV 21-В),Файл physical database изменился до загрузки. / Файл physical database изменился во время загрузки. / Файл physical database изменился после загрузки; повторите запуск.,physical database,чужое обоим,Файл физической базы изменился во время загрузки. Повторите действие.,"уже есть: «физической базы», «изменился во время загрузки» (ThermoGar_app.py:1239), «Повторите действие» (thermogar_workspace.py:175). Новых слов нет",W-1: английские слова
76,"app/ThermoGar_app.py:1250, app/ThermoGar_app.py:1254, app/ThermoGar_app.py:733",сообщение,Свойства → ошибка над вкладками (место 39 CSV 21-В); боковая панель → ошибка чтения базы (место 13 CSV 21-В),Путь physical database не соответствует SWR release policy. / SHA-256 physical database не соответствует SWR release policy. / Путь базы {database_key!r} не соответствует закреплённому профилю.,physical database; SWR release policy; SHA-256; профиль,программист,Файл базы не совпадает с поставкой ThermoGar. Переустановите программу.,"уже есть: «Файл базы» (thermogar_parallel.py:214), «в поставке» (ThermoGar_app.py:2956). Новое: «не совпадает с поставкой ThermoGar», «Переустановите программу»",W-1: внутренние имена политики выпуска
77,"app/ThermoGar_app.py:699, app/ThermoGar_app.py:709, app/thermogar_diffusion.py:204, app/thermogar_diffusion.py:211, app/thermogar_precipitation.py:998",сообщение,"боковая панель → ошибка чтения базы (место 13 CSV 21-В); Кинетика → ошибка (места 46, 48, 50 CSV 21-В)",Ключ базы должен быть строкой. / Неизвестный профиль Fe-базы: {fe_profile_key!r}. / Ключ базы diffusion должен быть строкой. / Название базы diffusion должно быть строкой. / Ключ базы KWN должен быть строкой.,ключ; профиль; diffusion; строкой,программист,База не подключена. Выберите базу в боковой панели.,новое: фраза В3 21-В (на «да» владельца),W-1: внутренние слова
78,"app/ThermoGar_app.py:1673, app/ThermoGar_app.py:1677",столбец,Свойства → Плотность → таблица параметров,"Покрытие PDB по массе, % / Покрытие PDB по молям, %",PDB,материаловед (узко),"Покрытие физической базы по массе, % / Покрытие физической базы по молям, %","уже есть: «покрытие физической базы» (ThermoGar_app.py:1704), «по массе», «по молям». Новых слов нет",W-1: как Г2 21-В
79,"app/ThermoGar_app.py:1961, app/ThermoGar_app.py:1994",подпись,Свойства → Покрытие PDB → ошибка → «Технические сведения» → «Раздел: …»,проверка physical PDB / покрытие physical PDB,physical; PDB,чужое обоим,проверка физической базы / покрытие физической базы,"уже есть: «покрытие физической базы», «физической базы». Новых слов нет",W-1: английское слово
80,app/ThermoGar_app.py:2905,подпись,"Расчёты, Диаграммы, Затвердевание (сталь) → под результатом","{head} (решение о составе поставки, FE_EXCLUDED_PHASES). Автор базы вводил фазы Лавеса под дуплексные нержавеющие и корпусные стали — для таких марок результат может быть неполным.",FE_EXCLUDED_PHASES,программист,{head} (решение о составе поставки). Автор базы вводил фазы Лавеса под дуплексные нержавеющие и корпусные стали — для таких марок результат может быть неполным.,"уже есть: всё, кроме имени константы. Новых слов нет",W-1: имя константы
81,app/ThermoGar_app.py:2549,сообщение,"Расчёты, Диаграммы (сталь) → ручной выбор фаз", исключена для стали thermogar_patch и не может быть выбрана.,thermogar_patch,программист,{фазы} исключена для стальной базы и не может быть выбрана.,уже есть: «стальной базы». Новых слов нет,W-1: имя профиля
82,app/thermogar_physical.py:84,столбец,"Свойства → Плотность → таблица фаз, примечание",Использована общая модель фазы Лавеса из physical_data.pdb.,physical_data.pdb,программист,Использована общая модель фазы Лавеса из физической базы.,уже есть: «физической базы». Новых слов нет,W-1: имя файла
83,app/thermogar_physical.py:959,столбец,"Свойства → Плотность → таблица фаз, примечание",Прямая DP-модель из physical_data.pdb.,DP; physical_data.pdb,программист,Прямая модель плотности из физической базы.,новое: «Прямая модель плотности» (как в строке ThermoGar_app.py:12026),"W-1: имя файла, внутреннее имя модели"
84,app/thermogar_physical.py:992,столбец,"Свойства → Плотность → таблица фаз, примечание",В physical_data.pdb нет модели плотности для этой фазы.,physical_data.pdb,программист,В физической базе нет модели плотности для этой фазы.,"уже есть: «физической базе», «модели плотности». Новых слов нет",W-1: имя файла
85,"app/thermogar_physical.py:1010, app/thermogar_physical.py:1463",сообщение,"Свойства → Плотность, Плотность по T, Упругие свойства → предупреждения (место А2 21-В)",DP-параметры отсутствуют. / Не удалось восстановить подрешёточный состав для DP-модели.,DP,материаловед (узко),В базе нет модели плотности этой фазы. / Не удалось восстановить подрешёточный состав для модели плотности.,уже есть: «модели плотности». Новых слов нет,W-1: как 2в 21-В
86,app/thermogar_physical.py:1635,столбец,"Свойства → Плотность → таблица параметров, «Качество оценки»",полная по доступным прямым DP-моделям,DP,материаловед (узко),полная по прямым моделям плотности,новое: «по прямым моделям плотности»,W-1: как 2в 21-В
87,"app/thermogar_physical.py:514, app/thermogar_physical.py:523, app/thermogar_physical.py:488",сообщение,Свойства → ошибка над вкладками (место 39 CSV 21-В),"Файл перекрытий рассчитан на другую физическую базу: ожидался SHA-256 {…}, загружена база {…}. / Перекрытие {entry.identifier}: неизвестный вид {entry.kind!r}; поддержан только 'function'. / Непонятный аргумент overrides: {…}",SHA-256; перекрытие; 'function'; overrides; аргумент,программист,Файл поправок проекта к физической базе повреждён. Переустановите программу.,уже есть: «поправки проекта ThermoGar к физической базе» (thermogar_physical.py:413). Новое: «Переустановите программу»,"W-1: «перекрытие» — калька override, уже занятая на экране словом «поправка»; SHA-256, 'function'"
88,"app/thermogar_physical.py:595, app/thermogar_physical.py:609, app/thermogar_physical.py:1766, app/thermogar_physical.py:1796",сообщение,Свойства → ошибка над вкладками (место 39 CSV 21-В),Физическая база не содержит распознанных FUNCTION/DP параметров. / В physical_data.pdb не найдена функция {name}. / Не удалось разобрать FUNCTION: … / Не удалось разобрать PARAMETER DP: …,physical_data.pdb; разобрать; FUNCTION; PARAMETER; DP,"программист; FUNCTION, PARAMETER — ключевые слова файла базы",Физическая база не прочитана. Переустановите программу.,"новое: «Физическая база не прочитана», «Переустановите программу»","W-1: имя файла, «разобрать»; строка файла — в «Технические сведения»"
89,app/thermogar_physical.py:637,сообщение,Свойства → Плотность по T → ошибка,Температура {float(temperature_k):.2f} K вне диапазона DP-параметра {parameter.phase}: {parameter.lower_temperature:.2f}–{parameter.upper_temperature:.2f} K.,DP-параметр,материаловед (узко),Температура {float(temperature_k):.2f} K вне диапазона модели плотности {parameter.phase}: {parameter.lower_temperature:.2f}–{parameter.upper_temperature:.2f} K.,уже есть: «модели плотности». Новых слов нет,W-1: как 2в 21-В
90,"app/thermogar_properties.py:124, app/thermogar_properties.py:139, app/thermogar_properties.py:209, app/thermogar_properties.py:695, app/thermogar_properties.py:926",сообщение,"Свойства → Упругие свойства, Вклады упрочнения → ошибка (места 6, 7, 9 CSV 21-В)","{label}: требуется число, представимое в binary64. / {label}: результат не представим в binary64. / {label}: результат вышел за диапазон binary64. / Расчёт VRH вышел за диапазон конечных binary64-чисел. / Линейная сумма вышла за диапазон binary64.",binary64,программист,{label}: число слишком велико. / {label}: результат слишком велик. / Расчёт Voigt–Reuss–Hill дал слишком большое значение. / Сумма вкладов слишком велика.,"уже есть: «слишком велик» (thermogar_diffusion.py:1151), «Voigt–Reuss–Hill». Новое: «число слишком велико», «слишком большое значение», «Сумма вкладов»",W-1: binary64 — формат числа в памяти
91,"app/thermogar_properties.py:127, app/thermogar_properties.py:142",сообщение,"Свойства → Упругие свойства, Вклады упрочнения → ошибка",{label}: NaN и бесконечность запрещены. / {label}: получен NaN или бесконечность.,NaN,программист,{label}: нужно конечное число. / {label}: результат не является конечным числом.,"новое: «нужно конечное число», «не является конечным числом»",W-1: NaN
92,app/thermogar_properties.py:961,сообщение,Свойства → Вклады упрочнения → ошибка,Требуется явное подтверждение research-only границы расчёта.,research-only,чужое обоим,Подтвердите область применимости введённых коэффициентов.,уже есть: «область применимости введённых коэффициентов» (галочка ThermoGar_app.py:2258). Новое: «Подтвердите»,W-1: английское слово
93,"app/thermogar_properties.py:306, app/thermogar_properties.py:590",сообщение,Свойства → Упругие свойства → ошибка,"В библиотеке отсутствует объект entries. / Фаза {index}: ожидается объект с volume_fraction, bulk_gpa и shear_gpa.",entries; volume_fraction; bulk_gpa; shear_gpa; объект,программист,Введённые значения не проходят проверку.,уже есть дословно: thermogar_workspace.py:168,W-1: ключи JSON
94,app/thermogar_properties.py:845,сообщение,Свойства → Вклады упрочнения → ошибка поля (подпись в тексте ошибки),Taylor factor M для Orowan,Taylor factor,чужое обоим,M (Taylor) для Orowan,уже есть: «M (Taylor)». Новых слов нет,W-1: английское слово; на экране поле называется «M (Taylor)»
95,app/thermogar_properties.py:1071,столбец,"Свойства → Вклады упрочнения → таблица вкладов, «Формула»",внешняя source-backed модель / объявленный ввод,source-backed,чужое обоим,внешний источник / объявленный ввод,новое: «внешний источник»,W-1: английское слово
96,app/thermogar_parallel.py:105,сообщение,"Расчёты, Диаграммы, Свойства, Пакетный расчёт → ошибка расчёта",Число воркеров не может быть меньше 1.,воркер,программист,Число одновременных расчётов не может быть меньше 1.,новое: «Число одновременных расчётов»,W-1: «воркер»
97,"app/thermogar_parallel.py:211, app/thermogar_parallel.py:218, app/thermogar_parallel.py:592",сообщение,"Расчёты, Диаграммы, Свойства, Пакетный расчёт → ошибка расчёта","SHA-256 базы задан неверно: {sha256!r} (нужны 64 шестнадцатеричных символа). / SHA-256 базы не совпал: объявлено {expected}, у файла {actual} ({path}). / SHA-256 базы воркера не совпал с заданием.",SHA-256; воркер; путь,программист,Файл базы изменился во время загрузки. Повторите действие.,"уже есть: «Файл базы», «изменился во время загрузки», «Повторите действие». Новых слов нет",W-1; решение владельца 24.09.2026: технические подробности — в «Технические сведения»
98,app/thermogar_parallel.py:346,сообщение,"Расчёты, Диаграммы → ошибка расчёта в мас.%",Для массовых долей 'W' нужен 'balance'.,'W'; 'balance',программист,Для мас.% нужен элемент-основа.,"уже есть: «мас.%», «элемент-основа». Новых слов нет",W-1: ключи условий pycalphad
99,"app/thermogar_parallel.py:590, app/thermogar_parallel.py:675, app/thermogar_parallel.py:802, app/thermogar_parallel_ui.py:112",сообщение,"Расчёты, Диаграммы, Свойства, Пакетный расчёт → ошибка расчёта","Воркер не инициализирован: база не разобрана. / Движок закрыт, пул больше не создаётся. / Движок закрыт, новые расчёты не принимаются. / Движок не вернул массивы равновесия: расчёт запрошен без capture.",воркер; движок; пул; массивы; capture,программист,Параллельный расчёт прерван. Повторите действие.,уже есть: «Повторите действие». Новое: «Параллельный расчёт прерван» (как выше),W-1: словарь программиста
100,app/thermogar_parallel.py:853,сообщение,"Расчёты, Диаграммы, Свойства, Пакетный расчёт → ошибка расчёта","Воркер завершился, не вернув результат (вероятно, не хватило памяти на {self._workers} процессов): {error}",воркер; процесс; текст {error},программист,"Параллельный расчёт прерван: вероятно, не хватило памяти. Выберите «выкл.» в «Параллельный расчёт» боковой панели и повторите действие.","уже есть: «Параллельный расчёт», «выкл.» (thermogar_parallel_ui.py:159), «боковой панели». Новое: «вероятно, не хватило памяти» (сейчас «вероятно, не хватило памяти на … процессов»)",W-1; решение владельца 24.09.2026: технические подробности — в «Технические сведения» (текст ошибки)
101,"app/thermogar_diffusion.py:208, app/thermogar_precipitation.py:1001",сообщение,"Кинетика → ошибка (места 46, 48, 50 CSV 21-В)",База {canonical_key!r} не входит в SWR release surface. / База {database_key!r} не входит в SWR release surface.,SWR release surface; ключ базы,программист,База не подключена. Выберите базу в боковой панели.,новое: фраза В3 21-В (на «да» владельца),W-1: внутренние слова
102,"app/thermogar_diffusion.py:216, app/thermogar_diffusion.py:231, app/thermogar_diffusion.py:239",сообщение,"Кинетика → Диффузия → ошибка (места 46, 48 CSV 21-В)",Diffusion отклонён: название базы не соответствует закреплённому профилю {canonical_key!r}. / Diffusion отклонён: путь базы … / Diffusion отклонён: SHA-256 базы …,Diffusion; профиль; SHA-256,программист,Расчёт диффузии не запущен: файл базы не совпадает с поставкой ThermoGar.,"новое: «Расчёт диффузии не запущен», «не совпадает с поставкой ThermoGar»","W-1: английское имя раздела, «профиль»"
103,"app/thermogar_diffusion.py:247, app/thermogar_diffusion.py:820, app/thermogar_diffusion.py:829",сообщение,"Кинетика → Диффузия → ошибка (места 46, 48 CSV 21-В)",Diffusion отклонён: файл базы изменился во время загрузки. / Diffusion отклонён: release-база изменилась перед запуском Kawin. / Diffusion отклонён: release-база изменилась при загрузке Kawin.,Diffusion; release-база,программист,Расчёт диффузии не запущен: файл базы изменился во время загрузки.,уже есть: «файл базы изменился во время загрузки» (thermogar_diffusion.py:247). Новое: «Расчёт диффузии не запущен»,W-1: английские слова
104,app/thermogar_diffusion.py:385,сообщение,"Кинетика → Диффузия → ошибка (места 46, 48 CSV 21-В)",В исследовательском diffusion mode разрешено не более четырёх элементов одновременно (основа + три добавки). Это ограничение первого кинетического релиза.,diffusion mode; релиз,чужое обоим; программист,В расчёте диффузии допускается не более четырёх элементов одновременно (основа + три добавки).,уже есть: «не более четырёх элементов одновременно» (thermogar_diffusion.py:1682). Новое: «В расчёте диффузии»,"W-1: английские слова, «релиз»"
105,app/thermogar_diffusion.py:788,сообщение,"Кинетика → Диффузия → ошибка (места 46, 48 CSV 21-В)",Пакет kawin не установлен или не загрузился: {…},пакет kawin,программист,Модуль диффузии Kawin недоступен.,уже есть дословно: thermogar_stage14.py:1214,W-1; решение владельца 24.09.2026: технические подробности — в «Технические сведения»
106,app/thermogar_diffusion.py:882,сообщение,"Кинетика → Диффузия → ошибка расчёта (места 46, 48 CSV 21-В)","Решатель Kawin не смог продолжить расчёт для фаз {…} при {…} °C. Чаще всего это значит, что выбранная фаза при этой температуре не устойчива в заданных составах: проверьте температуру, состав сторон пары и выбор фазы. Сообщение решателя: {solver_error}",решатель; текст исключения Kawin,программист,"Kawin не смог продолжить расчёт для фаз {…} при {…} °C. Чаще всего это значит, что выбранная фаза при этой температуре не устойчива в заданных составах: проверьте температуру, состав сторон пары и выбор фазы.","уже есть: всё, кроме удалённого. Новых слов нет",W-1: «решатель»; решение владельца 24.09.2026: технические подробности — в «Технические сведения» (сообщение Kawin)
107,"app/thermogar_diffusion.py:919, app/thermogar_diffusion.py:920, app/thermogar_diffusion.py:921, app/thermogar_diffusion.py:922",столбец,Кинетика → Диффузия → таблица параметров,Ключ release-базы | {ключ}; Название release-базы | {…}; Термодинамическая база и подвижности | {путь}; SHA-256 release-базы | {…},release; ключ; путь; SHA-256,программист,"База | {подпись базы}; путь, ключ и SHA-256 — только в выгрузке","уже есть: «База», подпись базы. Новых слов нет",W-1; решение владельца 24.09.2026: технические подробности — в «Технические сведения»
108,app/thermogar_diffusion.py:941,столбец,"Кинетика → Диффузия → таблица параметров, «Материальная квалификация»",не проводилась; production use — {PRODUCTION_USE} (на экране: «не проводилась; production use — NOT_ASSESSED»),production use; NOT_ASSESSED,чужое обоим; программист,не проводилась,уже есть: «не проводилась» (thermogar_diffusion.py:941). Новых слов нет,W-1: английские слова и код статуса
109,app/thermogar_diffusion.py:947,столбец,Кинетика → Диффузия (гомогенизация) → таблица параметров,Сглаживающий коэффициент eps,eps,программист,Сглаживающий коэффициент ε,уже есть дословно: подпись поля thermogar_diffusion.py:1572,W-1: имя переменной вместо обозначения
110,"app/thermogar_diffusion.py:123, app/thermogar_precipitation.py:84",подпись (значение поля по умолчанию),Кинетика → Диффузия → «Источник и назначение diffusion inputs»; Кинетика → Выделения → «Источник и применимость физических входов»,DECLARED_SCENARIO_INPUT_NOT_MATERIAL_QUALIFICATION,служебный код,программист,"Объявленный сценарий, не данные материала",уже есть: «объявленный сценарий» (thermogar_precipitation.py:1548). Новое: «не данные материала»,W-1: служебный код в поле ввода
111,app/thermogar_diffusion.py:1324,подсказка,Кинетика → Диффузия → «Источник и назначение diffusion inputs»,"Строка попадает в лист «Параметры» Excel, в историю расчётов и в JSON происхождения. Укажите источник состава, температуры и времени; значение по умолчанию помечает их как объявленный software-сценарий без экспериментальной валидации.",software-сценарий; валидации,чужое обоим; программист,"Строка попадает в лист «Параметры» Excel, в историю расчётов и в JSON происхождения. Укажите источник состава, температуры и времени; значение по умолчанию помечает их как объявленный сценарий без экспериментальной проверки.","уже есть: всё, кроме замены. Новое: «без экспериментальной проверки»","W-1: английское слово, «валидация»"
112,"app/thermogar_diffusion.py:1061, app/thermogar_diffusion.py:1065",сообщение,"Кинетика → Диффузия → ошибка (места 46, 48 CSV 21-В)",Источник/назначение diffusion inputs должен быть строкой. / Для diffusion обязателен источник или явная маркировка declared scenario inputs.,diffusion inputs; declared scenario inputs; строкой,чужое обоим; программист,Укажите источник исходных данных диффузии.,"уже есть: «Укажите источник» (thermogar_diffusion.py:1324), «исходных данных». Новое: «исходных данных диффузии» (Г1 21-В, на «да» владельца)",W-1: английские слова
113,app/thermogar_diffusion.py:1070,сообщение,"Кинетика → Диффузия → ошибка (места 46, 48 CSV 21-В)",Для diffusion требуется явное подтверждение research-only сценария.,diffusion; research-only,чужое обоим,Подтвердите исследовательский характер расчёта диффузии.,новое: «Подтвердите исследовательский характер расчёта диффузии»,W-1: английские слова
114,"app/thermogar_diffusion.py:1077, app/thermogar_diffusion.py:1087",сообщение,"Кинетика → Диффузия → ошибка (места 46, 48 CSV 21-В)",model_kind diffusion должен быть строго 'single' или 'homogenization'. / Неизвестная модель эффективной подвижности diffusion.,model_kind; diffusion; 'single'; 'homogenization',программист,Введённые значения не проходят проверку.,уже есть дословно: thermogar_workspace.py:168,W-1: имя переменной и значения
115,app/thermogar_diffusion.py:1375,подпись,Кинетика → Диффузия → под заголовком,"ThermoGar использует параметры диффузионной подвижности текущей базы и открытый решатель Kawin. Исследовательский режим рассчитывает изотермическую одномерную диффузию; это модель, а не экспериментально аттестованная технология.",решатель,программист,"ThermoGar использует параметры диффузионной подвижности текущей базы и открытую программу Kawin. Исследовательский режим рассчитывает изотермическую одномерную диффузию; это модель, а не экспериментально аттестованная технология.","уже есть: всё, кроме замены. Новое: «открытую программу Kawin»",W-1: «решатель»
116,app/thermogar_diffusion.py:1445,сообщение,Кинетика → Диффузия → под выбором фазы,"Границы закрыты: поток через левый и правый торцы равен нулю. Составы задаются в ат.% или мас.%, внутри решателя используются атомные доли.",решатель,программист,"Границы закрыты: поток через левый и правый торцы равен нулю. Составы задаются в ат.% или мас.%, в расчёте используются атомные доли.","уже есть: всё, кроме замены. Новых слов нет",W-1: «решатель»
117,app/thermogar_diffusion.py:1680,заголовок,Кинетика → Диффузия → под результатом,#### Ограничения исследовательского diffusion mode,diffusion mode,чужое обоим,#### Ограничения расчёта диффузии,уже есть: «Ограничения». Новое: «расчёта диффузии»,W-1: английские слова
118,app/thermogar_diffusion.py:1682,markdown,Кинетика → Диффузия → «Ограничения …»,- численный результат требует открытого benchmark или независимого программного сопоставления; это не квалифицирует материал.,benchmark,чужое обоим,- численный результат нужно сверить с опубликованным эталонным расчётом или другой программой; это не квалифицирует материал.,новое: «опубликованным эталонным расчётом или другой программой» (как в строке thermogar_stage14.py:487),W-1: английское слово
119,app/thermogar_precipitation.py:437,сообщение,Кинетика → Выделения → ошибка (место 50 CSV 21-В),Фаза {matrix_phase} является ordered-частью order/disorder-модели и не может быть передана Kawin как матрица. Выберите {disordered}. Автоматическая подмена фазы не выполняется.,ordered; order/disorder; подмена,материаловед (англ.); программист,Фаза {matrix_phase} — упорядоченная половина модели порядок/беспорядок и не может быть матрицей. Выберите {disordered}.,"уже есть: «упорядоченную половину пары порядок/беспорядок» (ThermoGar_app.py:11911), «половины одной … модели» (thermogar_precipitation.py:1398), «матрицей». Новых слов нет",W-1: русский термин уже на экране
120,"app/thermogar_precipitation.py:1398, app/ThermoGar_app.py:5705",подпись / столбец,Кинетика → Выделения → под выбором матрицы; Проекты и данные → Справочник фаз → «Примечание модели»,{matrix_phase} и {matrix_partner} — разупорядоченная и упорядоченная половины одной order/disorder-модели. … / Связанная order/disorder-модель с {disordered}; одно имя фазы не всегда означает полное упорядочение.,order/disorder,материаловед (англ.),… половины одной модели порядок/беспорядок. … / Связанная модель порядок/беспорядок с {disordered}; одно имя фазы не всегда означает полное упорядочение.,уже есть: «порядок/беспорядок». Новых слов нет,W-1: русский термин уже на экране
121,"app/thermogar_precipitation.py:957, app/thermogar_precipitation.py:971, app/thermogar_precipitation.py:978",сообщение,Кинетика → Выделения → ошибка (место 50 CSV 21-В),KWN отклонён: название базы не соответствует закреплённому профилю {database_key!r}. / KWN отклонён: путь базы … / KWN отклонён: SHA-256 базы …,профиль; SHA-256,программист,Расчёт выделений не запущен: файл базы не совпадает с поставкой ThermoGar.,"новое: «Расчёт выделений не запущен», «не совпадает с поставкой ThermoGar»",W-1: «профиль»
122,app/thermogar_precipitation.py:1004,сообщение,Кинетика → Выделения → ошибка (место 50 CSV 21-В),Для KWN обязателен источник или явная маркировка declared scenario inputs.,declared scenario inputs,чужое обоим,Укажите источник физических входов.,"уже есть: «Укажите источник», «физических входов» (thermogar_precipitation.py:1545). Новых слов нет",W-1: английские слова
123,app/thermogar_precipitation.py:1016,сообщение,Кинетика → Выделения → ошибка (место 50 CSV 21-В),Температурный режим KWN должен быть строго 'isothermal' или 'profile'.,'isothermal'; 'profile',программист,Введённые значения не проходят проверку.,уже есть дословно: thermogar_workspace.py:168,W-1: служебные значения
